2024-10-22 23:39:36 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:39:37 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:39:44 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:39:58 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:13 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:15 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:18 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:28 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:33 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:35 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:37 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:41 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:41 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:50 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:53 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:40:58 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:06 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:07 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:13 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:24 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:24 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:26 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:30 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:40 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:45 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:46 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:56 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:59 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:41:59 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:01 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:06 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:12 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:14 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:14 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:17 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:26 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:27 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:28 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:28 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:44 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:44 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:46 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:57 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:57 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:42:58 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:01 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:16 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:22 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:26 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:28 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:29 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:32 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:32 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:40 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:40 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:45 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:43:45 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:00 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:00 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:02 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
2024-10-22 23:44:14 [INFO]  比赛:[Girona FC -- Slovan Bratislava] 赔率: [0.9903111437129409], 持续时间[3.5268173217773438 秒]
